rep;type;delay;time1;time2
0;hard;-1025;823132580;823131555
1;hard;-1033;847118916;847117883
2;hard;-1041;871103492;871102451
3;hard;-1025;895115404;895114379
4;hard;-1033;919100604;919099571
5;hard;-1025;943053172;943052147
6;hard;-1025;967038228;967037203
7;hard;-1025;991041108;991040083
8;hard;-1033;15011244;15010211
9;hard;-1033;38976700;38975667
10;hard;-1025;62956244;62955219
11;hard;-1033;86944236;86943203
12;hard;-1033;110923388;110922355
13;hard;-1033;134915716;134914683
14;hard;-1033;158900412;158899379
15;hard;-1025;182885332;182884307
16;hard;-1033;206854588;206853555
17;hard;-1033;230861700;230860667
18;hard;-1025;254823380;254822355
19;hard;-1033;278808972;278807939
20;hard;-1033;302797676;302796643
21;hard;-1025;326792476;326791451
22;hard;-1025;350757524;350756499
23;hard;-1033;374736364;374735331
24;hard;-1017;398730468;398729451
25;hard;-1025;422747564;422746539
26;hard;-1033;446784108;446783075
27;hard;-1025;470763508;470762483
28;hard;-1033;494671740;494670707
29;hard;-1025;518705340;518704315
30;hard;-1025;542633756;542632731
31;hard;-1017;566598220;566597203
32;hard;-1025;590584700;590583675
33;hard;-1025;614589636;614588611
34;hard;-1033;638558932;638557899
35;hard;-1025;662524692;662523667
36;hard;-1033;686511516;686510483
37;hard;-1025;710491644;710490619
38;hard;-1017;734490100;734489083
39;hard;-1025;758455292;758454267
40;hard;-1025;782438284;782437259
41;hard;-1017;806420412;806419395
42;hard;-1033;830427796;830426763
43;hard;-1025;854425924;854424899
44;hard;-1025;878374900;878373875
45;hard;-1033;902358844;902357811
46;hard;-1033;926346796;926345763
47;hard;-1025;950331156;950330131
48;hard;-1025;974306956;974305931
49;hard;-1025;998285500;998284475
50;hard;-1033;22275044;22274011
51;hard;-1033;46247412;46246379
52;hard;-1017;70234044;70233027
53;hard;-1025;94222556;94221531
54;hard;-1017;118219244;118218227
55;hard;-1033;142186876;142185843
56;hard;-1025;166206460;166205435
57;hard;-1025;190155772;190154747
58;hard;-1025;214140956;214139931
59;hard;-1033;238117972;238116939
60;hard;-1033;262101316;262100283
61;hard;-1025;286139988;286138963
62;hard;-1033;310070324;310069291
63;hard;-1025;334084428;334083403
64;hard;-1025;358107428;358106403
65;hard;-1025;382030828;382029803
66;hard;-1033;406072108;406071075
67;hard;-1025;429994972;429993947
68;hard;-1033;453963900;453962867
69;hard;-1033;477978956;477977923
70;hard;-1025;501924852;501923827
71;hard;-1033;525926212;525925179
72;hard;-1033;549903220;549902187
73;hard;-1041;573899204;573898163
74;hard;-1033;597858660;597857627
75;hard;-1033;621838196;621837163
76;hard;-1033;645842788;645841755
77;hard;-1025;669832612;669831587
78;hard;-1033;693792580;693791547
79;hard;-1025;717777324;717776299
80;hard;-1033;741748580;741747547
81;hard;-1033;765741812;765740779
82;hard;-1025;789728196;789727171
83;hard;-1041;813704860;813703819
84;hard;-1025;837677980;837676955
85;hard;-1025;861678124;861677099
86;hard;-1025;885662396;885661371
87;hard;-1025;909637284;909636259
88;hard;-1033;933612884;933611851
89;hard;-1017;957608340;957607323
90;hard;-1025;981577116;981576091
91;hard;-1025;5622076;5621051
92;hard;-1041;29561964;29560923
93;hard;-1033;53541860;53540827
94;hard;-1025;77524828;77523803
95;hard;-1033;101494308;101493275
96;hard;-1033;125509684;125508651
97;hard;-1025;149467916;149466891
98;hard;-1033;173442612;173441579
99;hard;-1033;197431308;197430275
100;hard;-1025;221405588;221404563
101;hard;-1025;245408588;245407563
102;hard;-1025;269380524;269379499
103;hard;-1025;293359868;293358843
104;hard;-1033;317347012;317345979
105;hard;-1033;341324276;341323243
106;hard;-1017;365327852;365326835
107;hard;-1025;389293972;389292947
108;hard;-1025;413288396;413287371
109;hard;-1033;437259252;437258219
110;hard;-1025;461288924;461287899
111;hard;-1033;485236012;485234979
112;hard;-1025;509227660;509226635
113;hard;-1033;533219276;533218243
114;hard;-1025;557178556;557177531
115;hard;-1033;581158356;581157323
116;hard;-1033;605153052;605152019
117;hard;-1041;629170932;629169891
118;hard;-1025;653120948;653119923
119;hard;-1025;677110476;677109451
120;hard;-1025;701147516;701146491
121;hard;-1041;725087660;725086619
122;hard;-1025;749034636;749033611
123;hard;-1025;773035476;773034451
124;hard;-1033;797030332;797029299
125;hard;-1033;821008268;821007235
126;hard;-1033;844964244;844963211
127;hard;-1017;868949972;868948955
128;hard;-1025;892959524;892958499
129;hard;-1033;916917484;916916451
130;hard;-1025;940897148;940896123
131;hard;-1033;964880436;964879403
132;hard;-1025;988885132;988884107
133;hard;-1033;12844492;12843459
134;hard;-1033;36927332;36926299
135;hard;-1025;60815692;60814667
136;hard;-1025;84821420;84820395
137;hard;-1025;108799124;108798099
138;hard;-1033;132766692;132765659
139;hard;-1025;156742188;156741163
140;hard;-1033;180740836;180739803
141;hard;-1025;204732428;204731403
142;hard;-1033;228698124;228697091
143;hard;-1025;252738324;252737299
144;hard;-1025;276681324;276680299
145;hard;-1025;300771828;300770803
146;hard;-1033;324658796;324657763
147;hard;-1025;348674604;348673579
148;hard;-1025;372613604;372612579
149;hard;-1025;396565724;396564699
150;hard;-1025;420549764;420548739
151;hard;-1025;444568484;444567459
152;hard;-1033;468579668;468578635
153;hard;-1033;492508548;492507515
154;hard;-1033;516488276;516487243
155;hard;-1033;540491484;540490451
156;hard;-1033;564516412;564515379
