rep;type;delay;time1;time2
0;hard_wrong;-727202829;982588036;255385207
1;hard_wrong;272835547;6585516;279421063
2;hard_wrong;272873939;30573196;303447135
3;hard_wrong;272912291;54566060;327478351
4;hard_wrong;272950667;78548836;351499503
5;hard_wrong;272989011;102526764;375515775
6;hard_wrong;273027371;126580276;399607647
7;hard_wrong;273065723;150577980;423643703
8;hard_wrong;273104051;174539596;447643647
9;hard_wrong;273142387;198512468;471654855
10;hard_wrong;273180731;222521252;495701983
11;hard_wrong;273219067;246552748;519771815
12;hard_wrong;273257387;270541780;543799167
13;hard_wrong;273295699;294474876;567770575
14;hard_wrong;273334027;318524028;591858055
15;hard_wrong;273372331;342460596;615832927
16;hard_wrong;273410643;366451588;639862231
17;hard_wrong;273448987;390457164;663906151
18;hard_wrong;273487339;414416836;687904175
19;hard_wrong;273525683;438426516;711952199
20;hard_wrong;273564035;462425956;735989991
21;hard_wrong;273602387;486422020;760024407
22;hard_wrong;273640739;510393652;784034391
23;hard_wrong;273679099;534379524;808058623
24;hard_wrong;273717451;558361564;832079015
25;hard_wrong;273755819;582359772;856115591
26;hard_wrong;273794187;606352468;880146655
27;hard_wrong;273832531;630342124;904174655
28;hard_wrong;273870883;654327388;928198271
29;hard_wrong;273909227;678348828;952258055
30;hard_wrong;273947579;702308932;976256511
31;hard_wrong;-726014093;726327716;313623
32;hard_wrong;-725975773;750293420;24317647
33;hard_wrong;-725937421;774281132;48343711
34;hard_wrong;-725899085;798262372;72363287
35;hard_wrong;-725860757;822268196;96407439
36;hard_wrong;-725822437;846251764;120429327
37;hard_wrong;-725784101;870298180;144514079
38;hard_wrong;-725745757;894252796;168507039
39;hard_wrong;-725707437;918232036;192524599
40;hard_wrong;-725669101;942233292;216564191
41;hard_wrong;-725630741;966226740;240595999
42;hard_wrong;-725592397;990282236;264689839
43;hard_wrong;274445963;14212676;288658639
44;hard_wrong;274484307;38216228;312700535
45;hard_wrong;274522675;62266900;336789575
46;hard_wrong;274561019;86223708;360784727
47;hard_wrong;274599379;110186964;384786343
48;hard_wrong;274637731;134259956;408897687
49;hard_wrong;274676067;158197860;432873927
50;hard_wrong;274714419;182141140;456855559
51;hard_wrong;274752771;206171876;480924647
52;hard_wrong;274791139;230200380;504991519
53;hard_wrong;274829499;254143636;528973135
54;hard_wrong;274867859;278156716;553024575
55;hard_wrong;274906219;302150596;577056815
56;hard_wrong;274944595;326144260;601088855
57;hard_wrong;274982963;350068116;625051079
58;hard_wrong;275021371;374063260;649084631
59;hard_wrong;275059779;398041700;673101479
60;hard_wrong;275098195;422067100;697165295
61;hard_wrong;275136611;446025788;721162399
62;hard_wrong;275175051;470022468;745197519
63;hard_wrong;275213499;494029036;769242535
64;hard_wrong;275251947;518004244;793256191
65;hard_wrong;275290379;541985356;817275735
66;hard_wrong;275328811;565984324;841313135
67;hard_wrong;275367243;589964284;865331527
68;hard_wrong;275405643;613947444;889353087
69;hard_wrong;275444059;637949540;913393599
70;hard_wrong;275482467;661953044;937435511
71;hard_wrong;275520875;685918252;961439127
72;hard_wrong;275559291;709916740;985476031
73;hard_wrong;-724402293;733919820;9517527
74;hard_wrong;-724363877;757894996;33531119
75;hard_wrong;-724325437;781901540;57576103
76;hard_wrong;-724287021;805872228;81585207
77;hard_wrong;-724248605;829861236;105612631
78;hard_wrong;-724210189;853857324;129647135
79;hard_wrong;-724171781;877838820;153667039
80;hard_wrong;-724133357;901847956;177714599
81;hard_wrong;-724094949;925819532;201724583
82;hard_wrong;-724056541;949875052;225818511
83;hard_wrong;-724018141;973805940;249787799
84;hard_wrong;-723979709;997792836;273813127
85;hard_wrong;276058723;21790932;297849655
86;hard_wrong;276097163;45778644;321875807
87;hard_wrong;276135603;69765452;345901055
88;hard_wrong;276174043;93781924;369955967
89;hard_wrong;276212475;117847468;394059943
90;hard_wrong;276250907;141763620;418014527
91;hard_wrong;276289331;165743436;442032767
92;hard_wrong;276327755;189760084;466087839
93;hard_wrong;276366163;213730756;490096919
94;hard_wrong;276404603;237707332;514111935
95;hard_wrong;276443011;261683612;538126623
96;hard_wrong;276481435;285673284;562154719
97;hard_wrong;276519851;309652316;586172167
98;hard_wrong;276558251;333657164;610215415
99;hard_wrong;276596659;357715364;634312023
